,lr=0.1,lr=0.01,lr=0.001,lr=0.0001,lr=1e-05
hidden_dim=8,1.6990960222024185,1.6957776042131278,1.6934999080804676,1.6943362382742078,1.777034952090337
hidden_dim=16,1.6992357134819032,1.6961741869266216,1.6943495484498832,1.693466710127317,1.7648156780462998
hidden_dim=32,1.698815042238969,1.6968707075485814,1.6958244718038116,1.6936134164149945,1.7462667116752038
hidden_dim=64,1.6990618650729838,1.6974334239959716,1.6980079394120438,1.6944791316986083,1.7203581956716687
hidden_dim=128,1.699118818686559,1.6973036435934212,1.7009491416124198,1.69458559017915,1.700829815864563
hidden_dim=256,1.6995103652660664,1.696618301134843,1.704340692666861,1.6952976685303909,1.6954517144423265
hidden_dim=512,1.699188777116629,1.6963920593261719,1.705831941274496,1.69589092364678,1.694658361031459
hidden_dim=1024,1.699572731898381,1.6962116727462182,1.705199339756599,1.6964823988767772,1.694282433619866
hidden_dim=2048,1.7004507376597477,1.699063044327956,1.703093663545755,1.6986296186080345,1.6941789177747875
hidden_dim=4096,1.7017754499728863,1.7047741605685307,1.7013210718448346,1.7015558270307687,1.694612851509681
